Name;Type
hsa-mir-6825;5p-tailed mirtron
hsa-mir-6826;5p-tailed mirtron
hsa-mir-6827;5p-tailed mirtron
hsa-mir-6828;5p-tailed mirtron
hsa-mir-6829;5p-tailed mirtron
hsa-mir-6830;5p-tailed mirtron
hsa-mir-6831;mirtron
hsa-mir-6832;5p-tailed mirtron
hsa-mir-6833;5p-tailed mirtron
hsa-mir-6834;mirtron
hsa-mir-6835;5p-tailed mirtron
hsa-mir-6836;5p-tailed mirtron
hsa-mir-6837;5p-tailed mirtron
hsa-mir-6838;5p-tailed mirtron
hsa-mir-6839;5p-tailed mirtron
hsa-mir-6841;5p-tailed mirtron
hsa-mir-6842;5p-tailed mirtron
hsa-mir-6843;5p-tailed mirtron
hsa-mir-6844;mirtron
hsa-mir-6845;5p-tailed mirtron
hsa-mir-6846;5p-tailed mirtron
hsa-mir-6847;5p-tailed mirtron
hsa-mir-6848;5p-tailed mirtron
hsa-mir-6849;5p-tailed mirtron
hsa-mir-6850;3p-tailed mirtron
hsa-mir-6851;5p-tailed mirtron
hsa-mir-6852;5p-tailed mirtron
hsa-mir-6853;5p-tailed mirtron
hsa-mir-6854;5p-tailed mirtron
hsa-mir-6855;5p-tailed mirtron
hsa-mir-6856;5p-tailed mirtron
hsa-mir-6857;5p-tailed mirtron
hsa-mir-6858;3p-tailed mirtron
hsa-mir-6859;5p-tailed mirtron
hsa-mir-6860;5p-tailed mirtron
hsa-mir-6861;5p-tailed mirtron
hsa-mir-6862;two-tailed mirtron
hsa-mir-6863;5p-tailed mirtron
hsa-mir-6864;5p-tailed mirtron
hsa-mir-6865;5p-tailed mirtron
hsa-mir-6866;5p-tailed mirtron
hsa-mir-6867;5p-tailed mirtron
hsa-mir-6868;5p-tailed mirtron
hsa-mir-6869;3p-tailed mirtron
hsa-mir-6870;5p-tailed mirtron
hsa-mir-6871;5p-tailed mirtron
hsa-mir-6872;5p-tailed mirtron
hsa-mir-6873;5p-tailed mirtron
hsa-mir-6874;5p-tailed mirtron
hsa-mir-6875;5p-tailed mirtron
hsa-mir-6876;5p-tailed mirtron
hsa-mir-6877;5p-tailed mirtron
hsa-mir-6878;5p-tailed mirtron
hsa-mir-6879;5p-tailed mirtron
hsa-mir-6880;5p-tailed mirtron
hsa-mir-6881;5p-tailed mirtron
hsa-mir-6882;5p-tailed mirtron
hsa-mir-6883;5p-tailed mirtron
hsa-mir-6884;two-tailed mirtron
hsa-mir-6885;5p-tailed mirtron
hsa-mir-6886;5p-tailed mirtron
hsa-mir-6887;5p-tailed mirtron
hsa-mir-6888;5p-tailed mirtron
hsa-mir-6889;5p-tailed mirtron
hsa-mir-6890;5p-tailed mirtron
hsa-mir-6891;3p-tailed mirtron
hsa-mir-6892;mirtron
hsa-mir-6893;5p-tailed mirtron
hsa-mir-6894;5p-tailed mirtron
hsa-mir-6895;5p-tailed mirtron
hsa-mir-7106;5p-tailed mirtron
hsa-mir-7108;mirtron
hsa-mir-7109;5p-tailed mirtron
hsa-mir-7110;5p-tailed mirtron
hsa-mir-7111;5p-tailed mirtron
hsa-mir-7112;5p-tailed mirtron
hsa-mir-7113;5p-tailed mirtron
hsa-mir-7114;5p-tailed mirtron
hsa-mir-877;mirtron
hsa-mir-937;3p-tailed mirtron
hsa-mir-939;5p-tailed mirtron
